How did Lincoln handle Fort Sumter?	He didn't send troops, he made the South decide whether to attack or not.
"In the US, individual leaders were examples of <span class=cloze>[...]</span>, resiliency and morals, thus inspiring the belief in the American Dream.<div><img src=""paste-11428907974657.jpg"" /></div>"	"In the US, individual leaders were examples of <span class=cloze>courage</span>, resiliency and morals, thus inspiring the belief in the American Dream.<div><img src=""paste-11428907974657.jpg"" /></div><br> "
"In the US, individual leaders were examples of courage, <span class=cloze>[...]</span> and morals, thus inspiring the belief in the American Dream.<div><img src=""paste-11428907974657.jpg"" /></div>"	"In the US, individual leaders were examples of courage, <span class=cloze>resiliency</span> and morals, thus inspiring the belief in the American Dream.<div><img src=""paste-11428907974657.jpg"" /></div><br> "
"In the US, individual leaders were examples of courage, resiliency and <span class=cloze>[...]</span>, thus inspiring the belief in the American Dream.<div><img src=""paste-11428907974657.jpg"" /></div>"	"In the US, individual leaders were examples of courage, resiliency and <span class=cloze>morals</span>, thus inspiring the belief in the American Dream.<div><img src=""paste-11428907974657.jpg"" /></div><br> "
"In the US, <span class=cloze>[...]</span> were examples of courage, resiliency and morals, thus inspiring the belief in the American Dream.<div><img src=""paste-11428907974657.jpg"" /></div>"	"In the US, <span class=cloze>individual leaders</span> were examples of courage, resiliency and morals, thus inspiring the belief in the American Dream.<div><img src=""paste-11428907974657.jpg"" /></div><br> "
"George Washington (1732-<span class=cloze>[...]</span>) was the leader of the Continental Army during the American Revolutionary War (1775-1783).<div><img src=""paste-11536282157057.jpg"" /></div>"	"George Washington (1732-<span class=cloze>1799</span>) was the leader of the Continental Army during the American Revolutionary War (1775-1783).<div><img src=""paste-11536282157057.jpg"" /></div><br> "
"George Washington (1732-1799) was the leader of the <span class=cloze>[...]</span> during the American Revolutionary War (1775-1783).<div><img src=""paste-11536282157057.jpg"" /></div>"	"George Washington (1732-1799) was the leader of the <span class=cloze>Continental Army</span> during the American Revolutionary War (1775-1783).<div><img src=""paste-11536282157057.jpg"" /></div><br> "
"George Washington (1732-1799) was the leader of the Continental Army during the <span class=cloze>[...]</span> (1775-1783).<div><img src=""paste-11536282157057.jpg"" /></div>"	"George Washington (1732-1799) was the leader of the Continental Army during the <span class=cloze>American Revolutionary War</span> (1775-1783).<div><img src=""paste-11536282157057.jpg"" /></div><br> "
"George Washington (1732-1799) was the leader of the Continental Army during the American Revolutionary War (<span class=cloze>[...]</span>-1783).<div><img src=""paste-11536282157057.jpg"" /></div>"	"George Washington (1732-1799) was the leader of the Continental Army during the American Revolutionary War (<span class=cloze>1775</span>-1783).<div><img src=""paste-11536282157057.jpg"" /></div><br> "
"George Washington (1732-1799) was the leader of the Continental Army during the American Revolutionary War (1775-<span class=cloze>[...]</span>).<div><img src=""paste-11536282157057.jpg"" /></div>"	"George Washington (1732-1799) was the leader of the Continental Army during the American Revolutionary War (1775-<span class=cloze>1783</span>).<div><img src=""paste-11536282157057.jpg"" /></div><br> "
"<div>After the American Revolutionary War (1775-<span class=cloze>[...]</span>), George Washington continued to be the first President of the US, (1789-1797).<br /><div><img src=""paste-11536282157057.jpg"" /></div></div>"	"<div>After the American Revolutionary War (1775-<span class=cloze>1783</span>), George Washington continued to be the first President of the US, (1789-1797).<br /><div><img src=""paste-11536282157057.jpg"" /></div></div><br> "
"<div>After the American Revolutionary War (1775-1783), George Washington continued to be <span class=cloze>[...]</span>, (1789-1797).<br /><div><img src=""paste-11536282157057.jpg"" /></div></div>"	"<div>After the American Revolutionary War (1775-1783), George Washington continued to be <span class=cloze>the first President of the US</span>, (1789-1797).<br /><div><img src=""paste-11536282157057.jpg"" /></div></div><br> "
"<div>After the American Revolutionary War (1775-1783), George Washington continued to be the first President of the US, (<span class=cloze>[...]</span>-1797).<br /><div><img src=""paste-11536282157057.jpg"" /></div></div>"	"<div>After the American Revolutionary War (1775-1783), George Washington continued to be the first President of the US, (<span class=cloze>1789</span>-1797).<br /><div><img src=""paste-11536282157057.jpg"" /></div></div><br> "
"<div>After the American Revolutionary War (1775-1783), George Washington continued to be the first President of the US, (1789-<span class=cloze>[...]</span>).<br /><div><img src=""paste-11536282157057.jpg"" /></div></div>"	"<div>After the American Revolutionary War (1775-1783), George Washington continued to be the first President of the US, (1789-<span class=cloze>1797</span>).<br /><div><img src=""paste-11536282157057.jpg"" /></div></div><br> "
Washington alternated <span class=cloze>[...]</span> when fighting the British.	Washington alternated <span class=cloze>sound, heroic triumphs and defeats</span> when fighting the British.<br> 
Washington alternated sound, heroic triumphs and defeats when <span class=cloze>[...]</span>.	Washington alternated sound, heroic triumphs and defeats when <span class=cloze>fighting the British</span>.<br> 
<span class=cloze>[...]</span> alternated sound, heroic triumphs and defeats when fighting the British.	<span class=cloze>Washington</span> alternated sound, heroic triumphs and defeats when fighting the British.<br> 
Washington <span class=cloze>[...]</span> when fighting the British.	Washington <span class=cloze>alternated sound, heroic triumphs and defeats</span> when fighting the British.<br> 
<span class=cloze>[...]</span> kept the revolutionary cause alive until support from the French made victory a fact.	"<span class=cloze>Washington's determination</span> kept the revolutionary cause alive until support from the French made victory a fact.<br> <img src=""paste-11978663788545.jpg"" />"
Washington's determination kept <span class=cloze>[...]</span> until support from the French made victory a fact.	"Washington's determination kept <span class=cloze>the revolutionary cause alive</span> until support from the French made victory a fact.<br> <img src=""paste-11978663788545.jpg"" />"
Washington's determination kept the revolutionary cause alive until <span class=cloze>[...]</span>	"Washington's determination kept the revolutionary cause alive until <span class=cloze>support from the French made victory a fact.</span><br> <img src=""paste-11978663788545.jpg"" />"
Who presided the Philadelphia Convention?	George Washington
"How did Washington benefit by presiding the Philadelphia Convention?<div><img src=""George_Washington_at_the_Philadelphia_Convention.jpg"" /></div>"	He was placed in a position to become President of the United States in 1789.&nbsp;
<span class=cloze>[...]</span> settled policies of non-intervention in European affairs.	<span class=cloze>Washington</span> settled policies of non-intervention in European affairs.<br> 
Washington settled policies of non-intervention in <span class=cloze>[...]</span>.	Washington settled policies of non-intervention in <span class=cloze>European affairs</span>.<br> 
Why did Washington settle policies of non-intervention in European affairs?	To strengthen the country and devote himself to reinforcing the nation's institutional architecture (tax-system, national bank).
<span class=cloze>[...]</span> died in 1799.	<span class=cloze>Washington</span> died in 1799.<br> 
Washington died in <span class=cloze>[...]</span>.	Washington died in <span class=cloze>1799</span>.<br> 
When was slavery abolished in the US?	1865
What happened in the US in 1865?	"Slavery was abolished through the 13th amendment.<div><img src=""paste-21809843929089.jpg"" /></div>"
The United States Congress consists of two houses: <span class=cloze>[...]</span> and the House of Representatives	The United States Congress consists of two houses: <span class=cloze>the Senate</span> and the House of Representatives<br> 
The United States Congress consists of two houses: the Senate and <span class=cloze>[...]</span>	The United States Congress consists of two houses: the Senate and <span class=cloze>the House of Representatives</span><br> 
The United States Congress consists of two houses: <span class=cloze>[...]</span> and <span class=cloze>[...]</span>	The United States Congress consists of two houses: <span class=cloze>the Senate</span> and <span class=cloze>the House of Representatives</span><br> 
Who was the sixteenth President of the United States?	Abraham Lincoln
Abraham Lincoln (1809 - <span class=cloze>[...]</span>) was the sixteenth President of the United States.&nbsp;	"Abraham Lincoln (1809 - <span class=cloze>1865</span>) was the sixteenth President of the United States.&nbsp;<br> <img src=""paste-6090263625729.jpg"" />"
<span class=cloze>[...]</span> (1809 - 1865) was the sixteenth President of the United States.&nbsp;	"<span class=cloze>Abraham Lincoln</span> (1809 - 1865) was the sixteenth President of the United States.&nbsp;<br> <img src=""paste-6090263625729.jpg"" />"
Who was killed by John Wilkes Booth, an enraged slavery supporter?	"Abraham Lincoln<div>&nbsp;<img src=""paste-6322191859713.jpg"" /></div>"
How did Lincoln's term in office end?	"Abraham Lincoln was shot on April 14th 1865 at the theater in Washington.<div><img src=""paste-6828998000641.jpg"" /></div>"
What happened right before Lincoln's assasination?	The American Civil war ended
"Abraham Lincoln, aka ""Honest Abe"", was in office from <span class=cloze>[...]</span> until his assassination.<div><img src=""blood-and-glory-the-civil-war-in-hd-lincoln-hero-A.jpeg"" /></div>"	"Abraham Lincoln, aka ""Honest Abe"", was in office from <span class=cloze>1861</span> until his assassination.<div><img src=""blood-and-glory-the-civil-war-in-hd-lincoln-hero-A.jpeg"" /></div><br> "
"Abraham Lincoln, aka <span class=cloze>[...]</span>, was in office from 1861 until his assassination.<div><img src=""blood-and-glory-the-civil-war-in-hd-lincoln-hero-A.jpeg"" /></div>"	"Abraham Lincoln, aka <span class=cloze>""Honest Abe""</span>, was in office from 1861 until his assassination.<div><img src=""blood-and-glory-the-civil-war-in-hd-lincoln-hero-A.jpeg"" /></div><br> "
"<span class=cloze>[...]</span>, aka ""Honest Abe"", was in office from 1861 until his assassination.<div><img src=""blood-and-glory-the-civil-war-in-hd-lincoln-hero-A.jpeg"" /></div>"	"<span class=cloze>Abraham Lincoln</span>, aka ""Honest Abe"", was in office from 1861 until his assassination.<div><img src=""blood-and-glory-the-civil-war-in-hd-lincoln-hero-A.jpeg"" /></div><br> "
"Lincoln/""Honest Abe"" won the <span class=cloze>[...]</span> Party nomination in 1860."	"Lincoln/""Honest Abe"" won the <span class=cloze>Republican</span> Party nomination in 1860.<br> "
<span class=cloze>[...]</span> won the Republican Party nomination in 1860.	"<span class=cloze>Lincoln/""Honest Abe""</span> won the Republican Party nomination in 1860.<br> "
"Lincoln/""Honest Abe"" won the Republican Party nomination in <span class=cloze>[...]</span>."	"Lincoln/""Honest Abe"" won the Republican Party nomination in <span class=cloze>1860</span>.<br> "
Lincoln was part <span class=cloze>[...]</span>	Lincoln was part <span class=cloze>of an anti-slavery platform.&nbsp;</span><br> 
<span class=cloze>[Somebody around the end of the US Civil War]</span> was part of an anti-slavery platform.&nbsp;	<span class=cloze>Lincoln</span> was part of an anti-slavery platform.&nbsp;<br> 
Abraham Lincoln&nbsp;led <span class=cloze>[...]</span>	Abraham Lincoln&nbsp;led <span class=cloze>the North in the Secession war.</span><br> 
<span class=cloze>[...]</span>&nbsp;led the North in the Secession war.	<span class=cloze>Abraham Lincoln</span>&nbsp;led the North in the Secession war.<br> 
<span class=cloze>[...]</span> personally promoted the passage of the Thirteenth Amendment to the Constitution in 1865.	<span class=cloze>Lincoln</span> personally promoted the passage of the Thirteenth Amendment to the Constitution in 1865.<br> 
Lincoln personally promoted the passage of <span class=cloze>[...]</span>	Lincoln personally promoted the passage of <span class=cloze>the Thirteenth Amendment to the Constitution in 1865.</span><br> 
s	When do you want to see this card again?
<span class=cloze>[...]</span> became martyr for the ideal of national unity.	"<span class=cloze>Lincoln</span> became martyr for the ideal of national unity.<br> <img src=""paste-8044473745409.jpg"" />"
Lincoln became <span class=cloze>[...]</span>	"Lincoln became <span class=cloze>martyr for the ideal of national unity.</span><br> <img src=""paste-8044473745409.jpg"" />"
"How did Abraham Lincoln envision the US reconstruction after the Civil War?<div><img src=""paste-8242042241025.jpg"" /></div>"	For him, reconstruction was an effort at national reconciliation and unity.<div><br /></div>
"<div>Franklin Delano Roosevelt&nbsp;(1882 - 1945) was the thirty-second <span class=cloze>[...]</span></div><div><img src=""paste-4539780431873.jpg"" /></div>"	"<div>Franklin Delano Roosevelt&nbsp;(1882 - 1945) was the thirty-second <span class=cloze>President of the United States.&nbsp;</span></div><div><img src=""paste-4539780431873.jpg"" /></div><br> "
"<div>Franklin Delano Roosevelt&nbsp;(1882 - 1945) was the <span class=cloze>[...]</span> President of the United States.&nbsp;</div><div><img src=""paste-4539780431873.jpg"" /></div>"	"<div>Franklin Delano Roosevelt&nbsp;(1882 - 1945) was the <span class=cloze>thirty-second</span> President of the United States.&nbsp;</div><div><img src=""paste-4539780431873.jpg"" /></div><br> "
"<div>Franklin Delano Roosevelt&nbsp;(1882 - <span class=cloze>[...]</span>) was the thirty-second President of the United States.&nbsp;</div><div><img src=""paste-4539780431873.jpg"" /></div>"	"<div>Franklin Delano Roosevelt&nbsp;(1882 - <span class=cloze>1945</span>) was the thirty-second President of the United States.&nbsp;</div><div><img src=""paste-4539780431873.jpg"" /></div><br> "
"<div>Franklin Delano <span class=cloze>[...]</span>&nbsp;(1882 - 1945) was the thirty-second President of the United States.&nbsp;</div><div><img src=""paste-4539780431873.jpg"" /></div>"	"<div>Franklin Delano <span class=cloze>Roosevelt</span>&nbsp;(1882 - 1945) was the thirty-second President of the United States.&nbsp;</div><div><img src=""paste-4539780431873.jpg"" /></div><br> "
"<div>Franklin <span class=cloze>[...]</span> Roosevelt&nbsp;(1882 - 1945) was the thirty-second President of the United States.&nbsp;</div><div><img src=""paste-4539780431873.jpg"" /></div>"	"<div>Franklin <span class=cloze>Delano</span> Roosevelt&nbsp;(1882 - 1945) was the thirty-second President of the United States.&nbsp;</div><div><img src=""paste-4539780431873.jpg"" /></div><br> "
"<div><span class=cloze>[...]</span> Delano Roosevelt&nbsp;(1882 - 1945) was the thirty-second President of the United States.&nbsp;</div><div><img src=""paste-4539780431873.jpg"" /></div>"	"<div><span class=cloze>Franklin</span> Delano Roosevelt&nbsp;(1882 - 1945) was the thirty-second President of the United States.&nbsp;</div><div><img src=""paste-4539780431873.jpg"" /></div><br> "
"Who is this guy who steered the US&nbsp;through both the Depression and WWII?<div><img src=""220px-FDR_in_1933.jpg"" /></div>"	Franklin Delano Roosevelt
"When and for how long did this guy was elected to?<div><img src=""220px-FDR_in_1933.jpg"" /></div>"	"<div>Franklin Delano Roosevelt&nbsp;was exceptionally elected to four terms in office (1933-1945)</div><div><img src=""paste-5209795330049.jpg"" /></div>"
"<div>Franklin Delano Roosevelt was elected&nbsp;<span class=cloze>[...]</span>&nbsp;between 1933 and 1945</div><div><img src=""paste-7215545057281.jpg"" /></div>"	"<div>Franklin Delano Roosevelt was elected&nbsp;<span class=cloze>to four terms in office</span>&nbsp;between 1933 and 1945</div><div><img src=""paste-7215545057281.jpg"" /></div><br> "
"<div>Franklin Delano Roosevelt was elected&nbsp;to four terms in office&nbsp;between <span class=cloze>[...]</span> and 1945</div><div><img src=""paste-7215545057281.jpg"" /></div>"	"<div>Franklin Delano Roosevelt was elected&nbsp;to four terms in office&nbsp;between <span class=cloze>1933</span> and 1945</div><div><img src=""paste-7215545057281.jpg"" /></div><br> "
"<div>Franklin Delano Roosevelt was elected&nbsp;to four terms in office&nbsp;between 1933 and <span class=cloze>[...]</span></div><div><img src=""paste-7215545057281.jpg"" /></div>"	"<div>Franklin Delano Roosevelt was elected&nbsp;to four terms in office&nbsp;between 1933 and <span class=cloze>1945</span></div><div><img src=""paste-7215545057281.jpg"" /></div><br> "
"<div><span class=cloze>[...]</span> was elected&nbsp;to four terms in office&nbsp;between 1933 and 1945</div><div><img src=""paste-7215545057281.jpg"" /></div>"	"<div><span class=cloze>Franklin Delano Roosevelt</span> was elected&nbsp;to four terms in office&nbsp;between 1933 and 1945</div><div><img src=""paste-7215545057281.jpg"" /></div><br> "
Roosevelt's policies to counter the depression, the New Deal, had been termed by some as <span class=cloze>[...]</span>	"Roosevelt's policies to counter the depression, the New Deal, had been termed by some as <span class=cloze>almost communist.</span><br> <img src=""paste-7305739370497.jpg"" />"
Roosevelt's policies to counter the depression, <span class=cloze>[...]</span>, had been termed by some as almost communist.	"Roosevelt's policies to counter the depression, <span class=cloze>the New Deal</span>, had been termed by some as almost communist.<br> <img src=""paste-7305739370497.jpg"" />"
<span class=cloze>[...]</span>'s policies to counter the depression, the New Deal, had been termed by some as almost communist.	"<span class=cloze>Roosevelt</span>'s policies to counter the depression, the New Deal, had been termed by some as almost communist.<br> <img src=""paste-7305739370497.jpg"" />"
The New Deal was a series of domestic programs enacted in the United States between <span class=cloze>[...]</span>	"The New Deal was a series of domestic programs enacted in the United States between <span class=cloze>1933 and 1938.</span><br> <img src=""paste-7524782702593.jpg"" />"
The New Deal was <span class=cloze>[...]</span> enacted in the United States between 1933 and 1938.	"The New Deal was <span class=cloze>a series of domestic programs</span> enacted in the United States between 1933 and 1938.<br> <img src=""paste-7524782702593.jpg"" />"
<span class=cloze>[...]</span> was a series of domestic programs enacted in the United States between 1933 and 1938.	"<span class=cloze>The New Deal</span> was a series of domestic programs enacted in the United States between 1933 and 1938.<br> <img src=""paste-7524782702593.jpg"" />"
What was Roosevelt's response to the Great Depression?	"<div>The New Deal</div><img src=""paste-7842610282497.jpg"" />"
What did the Works Progress Administration offer as a consecuence of The New Deal?	"Works Progress Administration offered jobs to the unemployed.<div><img src=""220px-WPA-USA-Sign.jpg"" /></div>"
The Works Progress Administration (WPA) was the largest and most ambitious <span class=cloze>[...]</span>.	The Works Progress Administration (WPA) was the largest and most ambitious <span class=cloze>American New Deal agency</span>.<br> 
<span class=cloze>[...]</span> (WPA) was the largest and most ambitious American New Deal agency.	<span class=cloze>The Works Progress Administration</span> (WPA) was the largest and most ambitious American New Deal agency.<br> 
"The WPA (<span class=cloze>[...]</span>)   employed millions of unemployed people (mostly unskilled men) to carry out public works projects.<div><img src=""paste-8740258447361.jpg"" /></div>"	"The WPA (<span class=cloze>Works Progress Administration</span>)   employed millions of unemployed people (mostly unskilled men) to carry out public works projects.<div><img src=""paste-8740258447361.jpg"" /></div><br> "
"The WPA (Works Progress Administration)  <span class=cloze>[...]</span> (mostly unskilled men) to carry out public works projects.<div><img src=""paste-8740258447361.jpg"" /></div>"	"The WPA (Works Progress Administration)  <span class=cloze> employed millions of unemployed people</span> (mostly unskilled men) to carry out public works projects.<div><img src=""paste-8740258447361.jpg"" /></div><br> "
"The WPA (Works Progress Administration)   employed millions of unemployed people (mostly unskilled men) to carry out <span class=cloze>[...]</span><div><img src=""paste-8740258447361.jpg"" /></div>"	"The WPA (Works Progress Administration)   employed millions of unemployed people (mostly unskilled men) to carry out <span class=cloze>public works projects.</span><div><img src=""paste-8740258447361.jpg"" /></div><br> "
"The <span class=cloze>[...]</span> (Works Progress Administration)   employed millions of unemployed people (mostly unskilled men) to carry out public works projects.<div><img src=""paste-8740258447361.jpg"" /></div>"	"The <span class=cloze>WPA</span> (Works Progress Administration)   employed millions of unemployed people (mostly unskilled men) to carry out public works projects.<div><img src=""paste-8740258447361.jpg"" /></div><br> "
<p>Please edit this note and add some cloze deletions. (<a href=http://ankisrs.net/docs/manual.html#cloze>help</a>)	<br> 
<span class=cloze>[...]</span> relied on his persistent optimism and activism to renew the US national spirit.	<span class=cloze>FDR</span> relied on his persistent optimism and activism to renew the US national spirit.<br> 
FDR relied on his persistent optimism and activism to renew <span class=cloze>[...]</span>	FDR relied on his persistent optimism and activism to renew <span class=cloze>the US national spirit.</span><br> 
The New Deal brought the government directly <span class=cloze>[...]</span>	The New Deal brought the government directly <span class=cloze>in economic affairs.</span><br> 
<span class=cloze>[...]</span> brought the government directly in economic affairs.	<span class=cloze>The New Deal</span> brought the government directly in economic affairs.<br> 
<span class=cloze>[...]</span>'s foreign relations during the war were initially based on covert aid to the allies.&nbsp;	<span class=cloze>Roosevelt</span>'s foreign relations during the war were initially based on covert aid to the allies.&nbsp;<br> 
Roosevelt's foreign relations during the war were initially <span class=cloze>[...]</span>	Roosevelt's foreign relations during the war were initially <span class=cloze>based on covert aid to the allies.&nbsp;</span><br> 
"What did Roosevelt mean with ""Arsenal of democracy""?<div><br /></div>"	"Roosevelt promised to help the United Kingdom fight Nazi Germany by giving them military supplies while the United States stayed out of the actual fighting.<div><img src=""paste-13627931230209.jpg"" /></div>"
Roosevelt's statement that the US should <span class=cloze>[...]</span> marked the decline of the isolationist and non-interventionist doctrine.	"Roosevelt's statement that the US should <span class=cloze>become the ""Arsenal of Democracy""</span> marked the decline of the isolationist and non-interventionist doctrine.<br> <img src=""paste-13932873908225.jpg"" />"
"Roosevelt's statement that the US should become the ""Arsenal of Democracy"" marked the decline of the <span class=cloze>[...]</span> and <span class=cloze>[...]</span>"	"Roosevelt's statement that the US should become the ""Arsenal of Democracy"" marked the decline of the <span class=cloze>isolationist</span> and <span class=cloze>non-interventionist doctrine.</span><br> <img src=""paste-13932873908225.jpg"" />"
"<span class=cloze>[...]</span> allows the House of Representatives to impeach the president and other officials for ""treason, bribery, or other high crimes and misdemeanors"".&nbsp;<div><img src=""paste-3556232921089.jpg"" /></div>"	"<span class=cloze>The Constitution</span> allows the House of Representatives to impeach the president and other officials for ""treason, bribery, or other high crimes and misdemeanors"".&nbsp;<div><img src=""paste-3556232921089.jpg"" /></div><br> "
"The Constitution allows <span class=cloze>[...]</span> to impeach the president and other officials for ""treason, bribery, or other high crimes and misdemeanors"".&nbsp;<div><img src=""paste-3556232921089.jpg"" /></div>"	"The Constitution allows <span class=cloze>the House of Representatives</span> to impeach the president and other officials for ""treason, bribery, or other high crimes and misdemeanors"".&nbsp;<div><img src=""paste-3556232921089.jpg"" /></div><br> "
"The Constitution allows the House of Representatives to impeach the <span class=cloze>[...]</span> and other officials for ""treason, bribery, or other high crimes and misdemeanors"".&nbsp;<div><img src=""paste-3556232921089.jpg"" /></div>"	"The Constitution allows the House of Representatives to impeach the <span class=cloze>president</span> and other officials for ""treason, bribery, or other high crimes and misdemeanors"".&nbsp;<div><img src=""paste-3556232921089.jpg"" /></div><br> "
"The Constitution allows the House of Representatives to impeach the president and other officials for <span class=cloze>[...]</span><div><img src=""paste-3556232921089.jpg"" /></div>"	"The Constitution allows the House of Representatives to impeach the president and other officials for <span class=cloze>""treason, bribery, or other high crimes and misdemeanors"".&nbsp;</span><div><img src=""paste-3556232921089.jpg"" /></div><br> "
"How can a US president be removed?<div><img src=""paste-3556232921089.jpg"" /></div>"	The House of Representatives impeaches him and the Senate executes the removal decision if a favorable vote of two-thirds is reached.
"The House of Representatives impeaches the President and the Senate executes the removal decision if a favorable vote of <span class=cloze>[...]</span> is reached.<br /><div><img src=""paste-3556232921089.jpg"" /></div>"	"The House of Representatives impeaches the President and the Senate executes the removal decision if a favorable vote of <span class=cloze>two-thirds</span> is reached.<br /><div><img src=""paste-3556232921089.jpg"" /></div><br> "
"<span class=cloze>[...]</span> impeaches the President and <span class=cloze>[...]</span> executes the removal decision if a favorable vote of two-thirds is reached.<br /><div><img src=""paste-3556232921089.jpg"" /></div>"	"<span class=cloze>The House of Representatives</span> impeaches the President and <span class=cloze>the Senate</span> executes the removal decision if a favorable vote of two-thirds is reached.<br /><div><img src=""paste-3556232921089.jpg"" /></div><br> "
For the office of the US President, the impeachment process has happened <span class=cloze>[...]</span> times.<div><br /></div>	"For the office of the US President, the impeachment process has happened <span class=cloze>three</span> times.<div><br /></div><br> <img src=""paste-5252745003009.jpg"" />"
"<span class=cloze>[...]</span> in 1868 was acquitted in this ""political trial"" by one vote.&nbsp;<div><img src=""paste-5493263171585.jpg"" /></div>"	"<span class=cloze>Andrew Johnson</span> in 1868 was acquitted in this ""political trial"" by one vote.&nbsp;<div><img src=""paste-5493263171585.jpg"" /></div><br> "
"Andrew Johnson in <span class=cloze>[...]</span> was acquitted in this ""political trial"" by one vote.&nbsp;<div><img src=""paste-5493263171585.jpg"" /></div>"	"Andrew Johnson in <span class=cloze>1868</span> was acquitted in this ""political trial"" by one vote.&nbsp;<div><img src=""paste-5493263171585.jpg"" /></div><br> "
"Bill Clinton was <span class=cloze>[...]</span> in 1998.<div><img src=""paste-6420976107521.jpg"" /></div>"	"Bill Clinton was <span class=cloze>impeached in the House of Representatives</span> in 1998.<div><img src=""paste-6420976107521.jpg"" /></div><br> <img src=""paste-5849745457153.jpg"" />"
"Bill Clinton was impeached in the House of Representatives in <span class=cloze>[...]</span>.<div><img src=""paste-6420976107521.jpg"" /></div>"	"Bill Clinton was impeached in the House of Representatives in <span class=cloze>1998</span>.<div><img src=""paste-6420976107521.jpg"" /></div><br> <img src=""paste-5849745457153.jpg"" />"
"Bill Clinton&nbsp;was <span class=cloze>[...]</span>&nbsp;in 1999.&nbsp;<div><img src=""paste-6420976107521.jpg"" /></div>"	"Bill Clinton&nbsp;was <span class=cloze>acquitted in the Senate vote</span>&nbsp;in 1999.&nbsp;<div><img src=""paste-6420976107521.jpg"" /></div><br> <img src=""paste-5849745457153.jpg"" />"
"Bill Clinton&nbsp;was acquitted in the Senate vote&nbsp;in <span class=cloze>[...]</span>.&nbsp;<div><img src=""paste-6420976107521.jpg"" /></div>"	"Bill Clinton&nbsp;was acquitted in the Senate vote&nbsp;in <span class=cloze>1999</span>.&nbsp;<div><img src=""paste-6420976107521.jpg"" /></div><br> <img src=""paste-5849745457153.jpg"" />"
"Why was this motherfucker impeached by the House of Representatives?<div><img src=""paste-7262789697537.jpg"" /></div>"	Former U.S. President Bill Clinton was accused on two charges, one of perjury and one of obstruction of justice.
"<span class=cloze>[...]</span> resigned in the face of imminent impeachment 1974.<div><img src=""paste-7503307866113.jpg"" /></div>"	"<span class=cloze>Richard Nixon</span> resigned in the face of imminent impeachment 1974.<div><img src=""paste-7503307866113.jpg"" /></div><br> "
"Richard Nixon resigned in the face of imminent impeachment <span class=cloze>[...]</span>.<div><img src=""paste-7503307866113.jpg"" /></div>"	"Richard Nixon resigned in the face of imminent impeachment <span class=cloze>1974</span>.<div><img src=""paste-7503307866113.jpg"" /></div><br> "
Richard Nixon resigned before the more than likely removal after <span class=cloze>[...]</span>	"Richard Nixon resigned before the more than likely removal after <span class=cloze>the Watergate scandal in 1974.</span><br> <img src=""paste-3530463117313.jpg"" />"
<span class=cloze>[...]</span> resigned before the more than likely removal after the Watergate scandal in 1974.	"<span class=cloze>Richard Nixon</span> resigned before the more than likely removal after the Watergate scandal in 1974.<br> <img src=""paste-3530463117313.jpg"" />"
<span class=cloze>[...]</span> allows for the Vice President to become president.	<span class=cloze>The 25th amendment</span> allows for the Vice President to become president.<br> 
The 25th amendment allows for the <span class=cloze>[...]</span>	The 25th amendment allows for the <span class=cloze>Vice President to become president.</span><br> 
<span class=cloze>[...]</span> may become president in the event of death, resignation, removal from office or impairment that prevents the current president from fulfilling his or her duties.	<span class=cloze>The Vice President</span> may become president in the event of death, resignation, removal from office or impairment that prevents the current president from fulfilling his or her duties.<br> 
"The Founding Fathers had the idea that the House of Representatives would be <span class=cloze>[...]</span> because it would contain <span class=cloze>[...]</span>.<div><img src=""paste-7932804595713.jpg"" /></div>"	"The Founding Fathers had the idea that the House of Representatives would be <span class=cloze>more subject to public pressure</span> because it would contain <span class=cloze>popular vote.</span>.<div><img src=""paste-7932804595713.jpg"" /></div><br> <img src=""paste-5703716569089.jpg"" />"
"<span class=cloze>[...]</span> had the idea that the House of Representatives would be more subject to public pressure because it would contain popular vote..<div><img src=""paste-7932804595713.jpg"" /></div>"	"<span class=cloze>The Founding Fathers</span> had the idea that the House of Representatives would be more subject to public pressure because it would contain popular vote..<div><img src=""paste-7932804595713.jpg"" /></div><br> <img src=""paste-5703716569089.jpg"" />"
"The Founding Fathers had the idea that <span class=cloze>[...]</span> would be more subject to public pressure because it would contain popular vote..<div><img src=""paste-7932804595713.jpg"" /></div>"	"The Founding Fathers had the idea that <span class=cloze>the House of Representatives</span> would be more subject to public pressure because it would contain popular vote..<div><img src=""paste-7932804595713.jpg"" /></div><br> <img src=""paste-5703716569089.jpg"" />"
"<div><span class=cloze>[...]</span> was designed to be more prone to calm deliberation.</div><div><img src=""paste-7932804595713.jpg"" /></div>"	"<div><span class=cloze>The Senate</span> was designed to be more prone to calm deliberation.</div><div><img src=""paste-7932804595713.jpg"" /></div><br> <img src=""paste-7864085118977.jpg"" />"
For legislation passage, both chamber's <span class=cloze>[...]</span>	For legislation passage, both chamber's <span class=cloze>approval is mandatory.</span><br> 
"<span class=cloze>[...]</span> represents the population of the USA in a proportional manner.&nbsp;<div><img src=""paste-14770392530945.jpg"" /></div>"	"<span class=cloze>The United States House of Representatives</span> represents the population of the USA in a proportional manner.&nbsp;<div><img src=""paste-14770392530945.jpg"" /></div><br> "
